Day,Time,Room
Fri,1,1-3c
Fri,2,c-3a
Fri,3,c-3d
Fri,4,c-3d
Fri,5,c-3d
Mon,1,C-1C
Mon,1,C-1D
Mon,1,C-2C
Mon,1,C-2D
Mon,1,C-3A
Mon,1,C-3B
Mon,1,Co-1A
Mon,2,MILAis
Mon,3,1-3D
Mon,3,C-1D
Mon,3,C-1C
Mon,3,1-2C
Mon,3,C-3B
Mon,3,C-2C
Mon,3,C-2F
Mon,3,C-2E
Mon,3,C-3D
Mon,3,Intera
Mon,4,1-2C
Mon,4,C-3B
Mon,4,C-1D
Mon,4,C-3D
Mon,4,C-2D
Mon,4,C-2C
Mon,4,Co-1B
Mon,4,C-1C
Mon,4,5-2A
Mon,5,C-3D
Thu,1,c-2a
Thu,2,c-2d
Thu,3,c-3b
Thu,4,1-3c
Thu,5,1-3c
Tue,1,C-2C
Tue,1,Co-1A
Tue,1,C-1C
Tue,1,C-1D
Tue,1,MILAis
Tue,1,C-2B
Tue,1,C-1B
Tue,2,C-2C
Tue,2,Co-1A
Tue,2,C-1C
Tue,2,C-1D
Tue,2,C-3B
Tue,2,C-2D
Tue,2,C-3A
Tue,2,C-1B
Tue,3,1-3D
Tue,3,C-3C
Tue,3,C-3B
Tue,3,C-2D
Tue,3,C-3A
Tue,3,C-2B
Tue,4,C-2B
Tue,4,C-1D
Tue,5,MILAis
Wed,1,C-2F
Wed,1,C-1C
Wed,1,c-2e
Wed,1,c-2c
Wed,1,Intera
Wed,1,c-2d
Wed,1,c-3b
Wed,1,c-1d
Wed,1,c-2b
Wed,2,c-3b
Wed,3,c-2b
Wed,4,c-2b
Wed,5,c-3d
Wed,2,c-2b
Wed,2,c-2f
Wed,2,c-2e
Wed,2,c-1c
Wed,2,c-2c
Wed,2,c-2d
Wed,2,c-1d
Wed,3,c-1c
Wed,3,c-2c
Wed,3,c-2d
Wed,3,c-2e
Wed,5,Intera
Thu,1,c-1b
Thu,1,c-3
Thu,2,c-1d
Thu,2,c-3a
Thu,2,c-3b
Thu,2,3-1a
Thu,2,c-1c
Thu,3,c-3a
Thu,3,c-2d
Thu,3,c-2a
Thu,3,1-3d
Thu,4,1-3c
Thu,4,c-3a
Thu,4,c-3d
Thu,4,co-1b
Thu,4,c-2f
Thu,4,c-1d
Thu,4,c-3b
Thu,4,MILAis
Thu,4,c-1a
Thu,5,c-1d
Thu,5,c-1b
Thu,5,c-3a
Thu,5,c-2a
Thu,5,c-3b
Fri,1,c-3b
Fri,2,5-2a
Fri,2,c-1d
Fri,3,c-1d
Fri,3,3-1a
Fri,3,c-2a
Fri,4,3-1a
Fri,4,Intera
Fri,5,c-2d
Fri,5,c-3a
Fri,5,c-1d
